;day;hour;minute;fail_fee;amount;3D_secured;enc_PSP;enc_card;enc_weekday;current_number_of_try
3746;4;5;20;5,0;228;0;0;1;0;1
24539;29;20;47;1,0;254;0;3;1;5;2
29704;4;8;12;1,0;130;0;3;2;1;1
7688;8;13;5;0,5;204;1;2;2;5;1
28116;2;17;22;1,0;149;0;3;1;2;1
36206;11;10;19;1,0;259;0;3;2;1;1
50127;28;17;41;5,0;73;0;0;0;4;4
49583;28;1;51;2,0;304;0;1;0;4;2
29752;4;9;24;1,0;41;0;3;2;1;2
28374;2;23;0;0,5;361;0;2;1;2;1
28983;3;15;12;0,5;296;0;2;0;3;1
1755;2;10;48;1,0;340;0;3;2;6;5
28644;3;6;13;1,0;128;0;3;2;3;2
17321;20;8;55;0,5;406;1;2;1;3;1
2501;3;2;2;1,0;368;0;3;1;4;4
6291;7;3;20;0,5;87;0;2;2;1;1
36253;11;11;17;2,0;285;1;1;0;1;1
46992;25;0;40;0,5;128;1;2;1;1;3
28296;2;21;26;1,0;250;0;3;1;2;2
30838;5;9;28;2,0;160;0;1;0;5;1
39814;15;12;35;2,0;203;0;1;2;0;1
29273;3;22;27;1,0;263;0;3;2;3;7
42110;18;13;46;0,5;95;0;2;2;1;2
38696;14;2;3;0,5;99;0;2;1;4;3
12821;14;18;48;0,5;228;0;2;1;1;7
46830;24;18;29;1,0;272;0;3;1;3;2
28519;3;3;9;1,0;164;0;3;1;3;4
29239;3;21;50;1,0;254;1;3;1;3;1
18652;22;3;1;1,0;174;0;3;2;5;1
31418;5;22;33;2,0;91;0;1;2;5;1
10861;12;0;25;0,5;290;0;2;1;2;1
12705;14;15;35;1,0;337;0;3;2;1;1
37847;13;3;25;1,0;239;0;3;2;6;2
28498;3;2;29;1,0;43;0;3;0;3;3
35998;11;5;20;1,0;105;1;3;2;1;3
4376;4;20;5;1,0;141;1;3;1;0;1
29131;3;18;45;1,0;214;0;3;0;3;2
18076;21;11;2;1,0;235;1;3;1;1;2
45152;22;7;9;1,0;204;0;3;1;0;4
38586;13;22;49;0,5;259;0;2;0;6;1
20190;23;23;8;0,5;117;0;2;1;6;3
40326;16;3;4;2,0;303;1;1;1;2;1
25292;30;18;34;1,0;100;0;3;1;6;1
11060;12;6;18;1,0;61;0;3;1;2;1
48149;26;9;14;0,5;200;0;2;2;5;1
42477;19;0;30;0,5;311;0;2;2;5;2
40647;16;13;50;1,0;277;0;3;1;2;2
38129;13;10;31;0,5;44;0;2;2;6;1
47415;25;12;20;1,0;135;0;3;0;1;1
41516;17;20;46;0,5;299;0;2;1;3;1
34408;9;0;29;1,0;39;0;3;2;2;3
43294;20;0;22;2,0;108;1;1;1;6;1
388;1;7;51;0,5;214;0;2;2;5;6
46856;24;19;13;2,0;295;0;1;2;3;1
48988;27;8;19;1,0;287;0;3;1;6;2
19143;22;17;21;1,0;347;0;3;1;5;1
38719;14;2;42;1,0;249;0;3;1;4;2
46665;24;11;36;2,0;278;0;1;1;3;1
13381;15;8;36;5,0;381;0;0;2;5;1
14156;16;6;0;0,5;60;1;2;1;6;3
137;1;2;28;1,0;383;0;3;1;5;1
17728;21;1;31;1,0;154;0;3;1;1;3
21385;25;12;15;1,0;88;1;3;1;0;1
36084;11;7;31;1,0;216;0;3;1;1;1
8018;8;20;31;2,0;260;0;1;0;5;2
43770;20;13;58;5,0;117;0;0;1;6;1
14699;16;21;1;1,0;382;0;3;2;6;2
4143;4;14;34;2,0;196;0;1;1;0;1
10581;11;16;30;0,5;256;0;2;1;0;2
6958;7;19;45;0,5;274;1;2;2;1;1
35171;10;0;50;1,0;126;0;3;1;3;1
7293;8;3;47;1,0;360;0;3;1;5;5
8987;9;21;51;2,0;223;0;1;0;6;1
43933;20;18;48;1,0;281;0;3;2;6;1
26789;1;11;44;1,0;175;1;3;0;0;4
45282;22;11;29;2,0;181;0;1;1;0;2
48384;26;15;16;1,0;123;0;3;2;5;3
15287;17;13;43;1,0;79;0;3;1;4;4
43652;20;10;59;2,0;203;1;1;0;6;1
22810;27;17;53;0,5;44;0;2;1;3;2
29209;3;20;53;2,0;410;0;1;0;3;1
33588;8;2;34;2,0;213;0;1;0;0;2
39239;14;18;19;1,0;188;0;3;1;4;2
37205;12;11;29;1,0;171;0;3;1;5;1
21973;26;9;41;1,0;223;1;3;1;2;1
28318;2;21;50;1,0;143;0;3;1;2;7
819;1;15;46;2,0;304;0;1;1;5;1
46;1;0;52;1,0;100;0;3;1;5;3
25918;31;13;33;1,0;209;1;3;1;4;2
43524;20;7;3;1,0;133;0;3;1;6;2
43253;19;22;57;1,0;196;1;3;0;5;1
29420;4;2;20;1,0;283;0;3;1;1;2
38912;14;7;56;1,0;206;0;3;0;4;1
33789;8;7;31;1,0;129;0;3;1;0;1
27857;2;12;10;2,0;186;0;1;1;2;1
48002;26;5;24;0,5;148;1;2;1;5;3
603;1;11;37;1,0;6;0;3;1;5;1
5393;5;23;19;2,0;259;0;1;1;2;2
38692;14;1;57;1,0;370;1;3;1;4;1
49213;27;15;0;1,0;222;1;3;1;6;2
19048;22;14;38;1,0;151;0;3;2;5;3
49788;28;7;49;1,0;325;0;3;1;4;1
16230;18;19;58;1,0;177;0;3;0;0;1
37386;12;16;20;5,0;224;0;0;1;5;2
17994;21;8;48;0,5;149;0;2;1;1;1
222;1;4;23;1,0;322;0;3;2;5;1
26300;1;0;41;1,0;114;0;3;1;0;4
34978;9;18;26;1,0;288;1;3;2;2;2
24051;29;7;41;0,5;165;1;2;2;5;1
4989;5;11;38;1,0;243;0;3;1;2;1
45426;22;15;58;0,5;231;0;2;2;0;2
30059;4;15;55;1,0;163;0;3;1;1;1
46849;24;19;0;1,0;233;0;3;0;3;1
397;1;7;56;1,0;222;1;3;1;5;1
15345;17;15;36;2,0;196;1;1;2;4;1
32426;6;22;15;0,5;138;1;2;2;6;1
18513;21;22;58;1,0;219;0;3;0;1;3
36650;11;21;16;0,5;12;0;2;1;1;1
18605;22;1;49;2,0;140;0;1;1;5;1
43897;20;17;34;0,5;246;1;2;1;6;2
18808;22;7;14;1,0;243;0;3;1;5;1
10622;11;17;49;2,0;173;0;1;2;0;1
34174;8;18;13;1,0;396;0;3;1;0;2
40800;16;17;59;1,0;270;0;3;0;2;2
2639;3;4;41;2,0;393;0;1;0;4;3
46350;23;22;50;5,0;300;1;0;2;2;1
19714;23;9;49;1,0;317;0;3;2;6;6
19966;23;16;46;1,0;186;0;3;2;6;1
2046;2;16;49;1,0;344;1;3;0;6;1
26158;31;20;49;1,0;121;1;3;0;4;1
8667;9;13;23;1,0;220;0;3;0;6;2
8282;9;3;15;1,0;169;0;3;1;6;1
36276;11;11;52;1,0;48;1;3;1;1;2
20507;24;9;4;1,0;83;0;3;1;4;3
45825;23;5;43;0,5;175;0;2;0;2;3
47262;25;8;11;0,5;170;0;2;1;1;2
19633;23;7;30;0,5;135;0;2;1;6;2
34804;9;13;1;1,0;246;0;3;1;2;3
23875;29;2;46;0,5;181;1;2;0;5;1
12560;14;10;56;0,5;101;0;2;1;1;2
10987;12;4;11;1,0;156;1;3;0;2;2
46146;23;16;17;1,0;247;1;3;0;2;1
44661;21;15;3;1,0;248;0;3;1;4;1
47018;25;1;29;2,0;196;1;1;1;1;2
11788;13;8;13;1,0;354;0;3;1;3;2
12960;14;22;8;2,0;162;0;1;1;1;1
28871;3;12;27;1,0;159;0;3;1;3;3
16590;19;7;51;1,0;317;1;3;0;2;1
2456;3;0;57;1,0;410;0;3;1;4;1
49506;27;23;39;2,0;316;0;1;1;6;1
49430;27;21;27;0,5;87;1;2;0;6;2
4812;5;7;4;0,5;133;0;2;1;2;3
36758;11;23;46;1,0;120;1;3;1;1;2
30365;4;22;43;0,5;202;0;2;1;1;2
14428;16;13;45;2,0;318;0;1;2;6;6
43437;20;4;26;1,0;27;0;3;1;6;1
14469;16;14;55;0,5;259;0;2;1;6;1
34075;8;15;56;0,5;164;1;2;2;0;1
37519;12;19;22;2,0;209;0;1;1;5;1
20912;24;21;26;0,5;261;0;2;1;4;1
22022;26;11;23;1,0;65;0;3;1;2;1
30458;5;1;25;5,0;126;0;0;0;5;1
21082;25;2;18;1,0;103;0;3;1;0;1
14265;16;8;55;1,0;299;1;3;1;6;3
26064;31;17;51;1,0;420;0;3;0;4;3
27552;2;4;7;1,0;48;0;3;0;2;1
33831;8;8;55;5,0;149;0;0;1;0;1
14438;16;13;57;1,0;262;0;3;0;6;2
39943;15;16;2;0,5;125;0;2;0;0;2
46308;23;21;42;1,0;52;0;3;2;2;1
15156;17;9;47;1,0;284;0;3;0;4;1
21334;25;10;40;5,0;265;0;0;1;0;1
30530;5;2;40;0,5;193;0;2;1;5;1
4505;4;22;53;1,0;266;1;3;1;0;1
13514;15;11;26;0,5;171;0;2;2;5;2
7165;8;0;33;1,0;141;0;3;1;5;1
43758;20;13;41;0,5;58;0;2;1;6;2
17989;21;8;42;1,0;248;0;3;0;1;1
9893;10;21;45;0,5;185;0;2;1;4;1
6770;7;15;31;0,5;67;0;2;1;1;3
25205;30;16;20;2,0;7;0;1;1;6;1
16183;18;18;39;1,0;166;0;3;2;0;2
35115;9;22;41;0,5;84;0;2;1;2;1
47930;26;3;26;1,0;334;0;3;2;5;3
46492;24;3;54;1,0;166;0;3;1;3;2
22309;26;22;16;2,0;47;1;1;1;2;1
7186;8;0;54;0,5;154;0;2;1;5;7
41892;18;7;55;0,5;123;0;2;1;1;3
49510;27;23;44;1,0;265;0;3;1;6;1
31603;6;2;43;1,0;246;0;3;1;6;4
5155;5;16;8;1,0;129;0;3;1;2;2
35570;10;15;47;1,0;260;0;3;2;3;1
4467;4;22;7;0,5;39;1;2;1;0;3
22833;27;19;5;1,0;155;0;3;1;3;1
30675;5;5;48;0,5;177;0;2;1;5;3
17433;20;13;17;1,0;316;0;3;2;3;1
19234;22;19;47;1,0;213;0;3;0;5;3
47847;26;0;56;1,0;323;0;3;1;5;2
32054;6;13;17;1,0;252;0;3;2;6;1
23209;28;7;48;2,0;258;0;1;2;1;1
6562;7;10;12;5,0;164;0;0;2;1;1
38444;13;18;48;1,0;275;1;3;1;6;1
50040;28;15;6;1,0;170;1;3;1;4;1
39061;14;12;31;1,0;305;0;3;1;4;1
37143;12;9;50;1,0;150;0;3;1;5;1
1152;1;21;55;2,0;293;0;1;2;5;1
35748;10;22;14;1,0;185;0;3;1;3;1
1192;1;22;42;1,0;271;1;3;1;5;2
19160;22;17;55;1,0;250;0;3;2;5;2
14412;16;13;25;0,5;192;0;2;1;6;2
49972;28;13;14;2,0;295;0;1;2;4;1
24743;30;2;34;2,0;282;0;1;2;6;1
38748;14;3;22;0,5;117;0;2;2;4;3
42434;18;23;11;1,0;187;1;3;2;1;1
43893;20;17;19;1,0;184;1;3;1;6;2
17982;21;8;28;0,5;106;0;2;1;1;1
3379;3;20;33;1,0;67;1;3;1;4;2
11696;13;5;15;0,5;149;1;2;1;3;1
38551;13;21;42;1,0;262;0;3;1;6;2
16200;18;19;5;0,5;43;0;2;1;0;2
40530;16;10;10;1,0;145;0;3;2;2;2
43193;19;21;9;1,0;101;0;3;2;5;1
23935;29;4;19;1,0;164;0;3;0;5;3
46548;24;6;30;2,0;57;0;1;1;3;1
37553;12;20;7;0,5;152;0;2;1;5;3
33739;8;6;14;0,5;120;0;2;1;0;1
38977;14;9;57;1,0;260;0;3;2;4;2
12989;14;22;49;1,0;352;1;3;1;1;1
45338;22;13;17;1,0;377;0;3;1;0;1
39091;14;13;48;5,0;346;0;0;1;4;1
46075;23;14;11;1,0;211;1;3;1;2;4
17980;21;8;25;0,5;285;1;2;1;1;1
48056;26;6;58;0,5;240;0;2;1;5;1
34097;8;16;32;1,0;204;0;3;2;0;1
21739;26;0;43;1,0;330;0;3;1;2;1
44258;21;3;10;1,0;226;1;3;1;4;2
48250;26;11;34;1,0;131;0;3;0;5;1
24768;30;3;6;1,0;399;0;3;1;6;1
25160;30;14;54;0,5;230;0;2;2;6;1
47541;25;16;5;1,0;49;0;3;1;1;2
272;1;5;14;1,0;180;0;3;2;5;1
12138;13;22;46;5,0;84;0;0;2;3;1
813;1;15;35;0,5;159;0;2;1;5;1
41152;17;7;13;1,0;170;1;3;1;3;1
6195;7;0;58;5,0;207;0;0;0;1;1
7628;8;11;28;1,0;128;0;3;1;5;1
45876;23;7;23;1,0;272;0;3;1;2;2
4084;4;13;2;1,0;223;0;3;1;0;2
47626;25;19;1;1,0;174;1;3;1;1;1
35269;10;4;14;1,0;160;1;3;2;3;2
37539;12;19;46;2,0;137;0;1;1;5;2
18160;21;13;40;0,5;238;1;2;1;1;2
41916;18;8;36;2,0;215;0;1;0;1;1
40661;16;14;11;1,0;191;0;3;1;2;1
43496;20;6;24;0,5;203;0;2;0;6;1
16851;19;16;49;1,0;178;0;3;2;2;1
29936;4;13;24;2,0;382;0;1;1;1;2
38988;14;10;16;0,5;235;1;2;0;4;1
22532;27;6;17;1,0;219;0;3;1;3;3
5550;6;4;27;2,0;231;0;1;2;3;1
16068;18;15;21;0,5;194;0;2;0;0;2
3341;3;19;48;1,0;119;1;3;1;4;3
31994;6;12;0;0,5;243;0;2;1;6;3
35951;11;3;58;2,0;173;0;1;0;1;1
8903;9;19;44;2,0;160;0;1;1;6;1
29558;4;4;59;2,0;181;0;1;1;1;1
40659;16;14;8;1,0;360;0;3;1;2;3
28860;3;12;13;5,0;263;0;0;2;3;1
32344;6;20;26;1,0;257;0;3;1;6;2
35045;9;20;23;5,0;56;1;0;0;2;2
15637;18;1;4;0,5;58;0;2;1;0;2
10670;11;19;27;1,0;336;0;3;1;0;7
43139;19;19;11;0,5;129;1;2;0;5;1
19789;23;11;52;2,0;68;0;1;2;6;1
23473;28;14;51;0,5;266;1;2;1;1;3
35720;10;20;53;1,0;164;0;3;0;3;2
3690;4;3;46;1,0;279;0;3;1;0;2
36474;11;16;45;5,0;139;0;0;2;1;3
24793;30;3;48;1,0;364;0;3;1;6;3
37882;13;4;15;1,0;288;0;3;2;6;1
10032;11;0;54;1,0;140;0;3;1;0;1
44945;22;0;12;2,0;439;0;1;2;0;1
19205;22;19;9;5,0;304;0;0;0;5;3
1686;2;9;14;1,0;353;0;3;1;6;1
39772;15;11;9;1,0;321;0;3;0;0;1
9220;10;3;42;1,0;236;0;3;2;4;1
49671;28;4;34;1,0;270;0;3;1;4;1
44159;21;0;52;5,0;304;1;0;1;4;1
539;1;10;19;1,0;146;1;3;1;5;2
34222;8;19;20;0,5;347;0;2;2;0;3
48484;26;17;55;2,0;538;0;1;1;5;4
2685;3;5;46;2,0;206;0;1;0;4;1
50280;28;22;21;0,5;14;1;2;1;4;4
15929;18;11;17;1,0;191;0;3;1;0;1
537;1;10;18;1,0;69;0;3;1;5;4
12311;14;4;2;1,0;261;0;3;1;1;1
45731;23;2;42;1,0;363;0;3;0;2;1
31617;6;3;15;2,0;220;0;1;1;6;1
1006;1;19;0;1,0;66;0;3;1;5;2
36689;11;22;17;0,5;233;1;2;0;1;1
26942;1;14;44;0,5;136;0;2;0;0;1
30094;4;16;37;1,0;84;0;3;1;1;1
4534;4;23;28;0,5;196;0;2;1;0;4
37982;13;6;44;0,5;273;0;2;2;6;2
15241;17;12;16;1,0;340;1;3;1;4;1
39551;15;3;57;1,0;46;0;3;0;0;1
30443;5;1;5;0,5;235;0;2;0;5;2
34276;8;20;39;2,0;169;0;1;0;0;1
47342;25;10;12;1,0;270;0;3;2;1;1
15912;18;10;43;2,0;152;0;1;0;0;1
48590;26;21;9;0,5;184;0;2;1;5;1
41493;17;19;51;2,0;274;0;1;0;3;2
11791;13;8;31;5,0;108;1;0;0;3;1
5527;6;3;15;0,5;116;0;2;1;3;2
44526;21;11;4;0,5;190;0;2;1;4;2
24454;29;18;27;0,5;364;0;2;1;5;1
5464;6;1;20;0,5;207;1;2;1;3;1
38768;14;3;53;0,5;28;0;2;1;4;2
33141;7;15;41;1,0;511;0;3;1;4;2
7996;8;20;5;1,0;144;0;3;2;5;3
40365;16;4;28;0,5;303;0;2;1;2;1
48116;26;8;31;1,0;102;0;3;1;5;1
5332;5;21;40;5,0;250;0;0;1;2;1
45547;22;19;56;1,0;339;0;3;0;0;2
12745;14;16;38;1,0;154;0;3;1;1;1
35441;10;10;53;1,0;150;0;3;1;3;1
8809;9;16;49;1,0;130;0;3;1;6;1
23844;29;2;6;0,5;197;0;2;2;5;3
31142;5;16;21;1,0;243;1;3;1;5;1
50322;28;23;36;1,0;242;1;3;0;4;1
15822;18;7;38;0,5;60;0;2;1;0;1
46903;24;21;31;1,0;150;1;3;2;3;1
9124;10;1;17;1,0;10;1;3;2;4;2
12841;14;19;11;1,0;269;0;3;1;1;1
15826;18;7;44;1,0;318;0;3;2;0;2
25377;30;21;15;1,0;216;0;3;0;6;3
18251;21;16;30;1,0;204;0;3;2;1;4
46110;23;15;17;1,0;226;1;3;1;2;1
15974;18;12;25;1,0;270;0;3;1;0;2
14113;16;4;43;1,0;295;0;3;1;6;1
21895;26;6;54;0,5;122;0;2;1;2;2
39219;14;17;41;1,0;206;0;3;1;4;1
44128;20;23;50;1,0;99;1;3;0;6;1
43747;20;13;28;2,0;278;0;1;2;6;3
42426;18;22;56;2,0;80;1;1;0;1;2
9499;10;11;42;2,0;271;0;1;1;4;2
19741;23;10;33;1,0;125;1;3;2;6;3
48417;26;16;6;1,0;373;0;3;1;5;1
2707;3;6;16;1,0;377;0;3;2;4;3
29920;4;13;2;0,5;212;0;2;2;1;1
47984;26;4;52;1,0;77;0;3;2;5;1
36213;11;10;23;0,5;20;0;2;2;1;4
31436;5;22;53;1,0;26;0;3;2;5;1
44549;21;11;35;2,0;319;1;1;2;4;1
27305;1;22;36;1,0;377;0;3;2;0;6
33225;7;17;47;1,0;203;1;3;1;4;4
1921;2;14;6;1,0;214;0;3;1;6;2
26228;31;22;38;1,0;275;0;3;1;4;3
25572;31;3;10;1,0;133;0;3;0;4;3
16262;18;20;47;1,0;153;0;3;1;0;4
43456;20;4;54;1,0;168;0;3;2;6;2
13330;15;7;14;1,0;149;0;3;0;5;4
47131;25;4;38;1,0;172;0;3;2;1;2
14490;16;15;18;1,0;48;1;3;1;6;1
34993;9;18;53;5,0;236;0;0;1;2;1
3964;4;9;59;1,0;264;0;3;1;0;4
2855;3;9;10;1,0;31;0;3;1;4;3
6626;7;11;42;1,0;273;0;3;1;1;1
12398;14;6;51;0,5;255;1;2;1;1;1
10198;11;5;21;2,0;157;0;1;1;0;2
15205;17;11;11;1,0;93;0;3;2;4;2
13085;15;1;15;0,5;320;0;2;2;5;3
29959;4;13;51;1,0;287;0;3;2;1;2
49523;28;0;3;0,5;79;0;2;1;4;1
15220;17;11;42;0,5;321;0;2;1;4;1
1527;2;6;6;2,0;223;1;1;1;6;2
14798;16;23;47;0,5;188;0;2;1;6;1
18387;21;19;41;0,5;371;0;2;1;1;1
30799;5;8;46;0,5;200;0;2;2;5;1
48439;26;17;0;2,0;24;0;1;1;5;1
49475;27;22;50;0,5;332;0;2;2;6;1
39646;15;7;0;1,0;137;0;3;0;0;1
42150;18;15;2;1,0;243;0;3;2;1;1
15488;17;20;8;1,0;241;0;3;1;4;2
13639;15;15;19;1,0;125;0;3;0;5;1
9089;10;0;30;1,0;209;0;3;1;4;3
26326;1;1;14;2,0;81;0;1;1;0;1
21761;26;1;21;1,0;195;0;3;1;2;4
48076;26;7;31;1,0;196;0;3;1;5;1
24781;30;3;20;1,0;374;0;3;1;6;2
13617;15;14;39;1,0;143;0;3;0;5;1
14943;17;3;29;1,0;216;0;3;1;4;2
6239;7;1;53;1,0;37;0;3;1;1;2
38849;14;6;11;2,0;145;0;1;1;4;2
42547;19;2;28;0,5;60;0;2;2;5;2
36082;11;7;28;1,0;219;0;3;1;1;1
10601;11;16;58;0,5;300;0;2;2;0;1
2764;3;7;22;1,0;38;1;3;0;4;2
19383;22;23;47;2,0;266;0;1;1;5;1
21342;25;10;46;1,0;127;0;3;1;0;2
11448;12;18;58;0,5;135;0;2;1;2;1
45286;22;11;34;1,0;163;0;3;0;0;1
7574;8;10;13;0,5;215;0;2;1;5;1
41180;17;8;42;0,5;191;1;2;1;3;2
49089;27;11;32;2,0;142;1;1;0;6;2
7742;8;14;14;2,0;289;0;1;1;5;1
49588;28;2;0;1,0;342;0;3;2;4;1
46319;23;21;50;1,0;400;1;3;1;2;8
12885;14;20;18;5,0;64;0;0;2;1;1
47388;25;11;37;1,0;107;0;3;0;1;1
23521;28;15;58;0,5;62;0;2;2;1;4
7993;8;20;1;1,0;157;0;3;0;5;1
29260;3;22;9;1,0;252;1;3;0;3;2
31001;5;13;11;0,5;147;1;2;2;5;4
15342;17;15;31;1,0;257;0;3;1;4;1
21785;26;2;14;2,0;256;1;1;0;2;1
45581;22;20;54;2,0;223;1;1;1;0;1
33610;8;3;7;1,0;161;0;3;2;0;2
17120;20;1;50;1,0;410;0;3;1;3;1
33113;7;14;58;1,0;245;0;3;2;4;1
28034;2;15;39;1,0;164;0;3;0;2;1
32136;6;15;10;1,0;234;0;3;2;6;1
41189;17;8;59;2,0;297;0;1;0;3;2
25078;30;12;21;0,5;353;0;2;1;6;2
37622;12;21;47;1,0;208;0;3;0;5;1
10124;11;3;31;0,5;97;0;2;2;0;1
10186;11;5;3;0,5;199;0;2;1;0;1
30610;5;4;9;0,5;404;0;2;2;5;3
28846;3;11;49;1,0;215;1;3;1;3;2
37300;12;13;55;1,0;455;0;3;1;5;1
32321;6;19;42;2,0;275;0;1;0;6;4
14627;16;19;19;5,0;211;0;0;1;6;1
42842;19;10;31;1,0;48;0;3;1;5;1
6504;7;8;50;1,0;157;0;3;1;1;1
44565;21;11;59;1,0;29;0;3;2;4;1
38268;13;13;52;1,0;217;1;3;1;6;5
13332;15;7;19;2,0;110;0;1;1;5;1
37917;13;5;15;0,5;290;0;2;0;6;4
27634;2;6;1;1,0;126;0;3;1;2;4
4220;4;16;27;0,5;53;1;2;2;0;1
2545;3;2;50;0,5;316;0;2;1;4;2
1482;2;5;14;2,0;228;0;1;1;6;1
36548;11;18;30;0,5;140;0;2;1;1;1
23444;28;14;3;1,0;313;0;3;1;1;1
48885;27;5;16;1,0;207;1;3;0;6;3
23366;28;12;3;1,0;221;0;3;2;1;2
11922;13;13;38;1,0;178;0;3;1;3;1
34771;9;11;51;0,5;140;0;2;1;2;3
29503;4;4;1;0,5;297;0;2;2;1;3
38195;13;12;3;0,5;41;0;2;0;6;2
2950;3;11;4;1,0;195;0;3;2;4;2
7510;8;8;53;1,0;281;1;3;1;5;3
48365;26;14;32;2,0;125;0;1;1;5;3
44546;21;11;33;2,0;343;0;1;1;4;2
38355;13;16;18;1,0;237;0;3;1;6;2
16155;18;17;46;1,0;137;0;3;0;0;2
19367;22;23;22;1,0;127;0;3;0;5;1
39664;15;7;56;1,0;204;0;3;1;0;1
39331;14;20;50;2,0;128;0;1;1;4;1
36667;11;21;41;2,0;102;0;1;1;1;1
30963;5;12;23;0,5;357;0;2;2;5;1
48459;26;17;23;1,0;479;1;3;0;5;1
21091;25;2;28;1,0;130;0;3;2;0;1
42384;18;21;38;0,5;307;1;2;0;1;1
3014;3;12;59;0,5;376;0;2;0;4;1
8634;9;12;23;2,0;183;0;1;0;6;3
29211;3;20;55;1,0;131;0;3;1;3;2
34090;8;16;20;0,5;239;0;2;2;0;1
17146;20;2;58;0,5;409;1;2;1;3;1
23153;28;5;33;1,0;103;0;3;1;1;3
26253;31;23;32;2,0;260;0;1;2;4;2
48313;26;13;2;1,0;99;1;3;2;5;3
13241;15;5;6;1,0;195;1;3;2;5;3
1280;2;0;33;2,0;119;0;1;2;6;1
49120;27;12;25;1,0;238;0;3;1;6;3
42225;18;17;6;5,0;178;0;0;1;1;3
3819;4;6;45;0,5;369;0;2;1;0;4
16807;19;15;15;1,0;252;0;3;1;2;4
20992;24;23;52;0,5;386;0;2;1;4;1
43359;20;2;11;0,5;35;0;2;1;6;3
18488;21;22;12;0,5;103;1;2;1;1;3
2292;2;21;45;1,0;98;0;3;1;6;1
40532;16;10;14;2,0;191;1;1;1;2;2
16502;19;5;19;0,5;267;0;2;0;2;3
31561;6;1;43;1,0;120;0;3;1;6;1
2973;3;11;44;1,0;270;0;3;2;4;2
15265;17;12;54;5,0;110;1;0;1;4;1
45747;23;3;9;1,0;71;0;3;1;2;1
13070;15;0;56;1,0;166;0;3;1;5;1
24084;29;8;43;0,5;370;1;2;2;5;2
45277;22;11;16;1,0;84;0;3;2;0;2
33839;8;9;11;1,0;367;0;3;2;0;1
34095;8;16;29;0,5;218;0;2;0;0;1
6045;6;20;18;1,0;356;1;3;0;3;3
30883;5;10;30;0,5;203;0;2;2;5;2
45629;22;23;3;1,0;68;0;3;1;0;2
17668;20;23;48;1,0;296;0;3;1;3;1
12079;13;20;20;0,5;257;0;2;2;3;1
34306;8;21;45;2,0;245;1;1;1;0;1
32484;6;23;13;1,0;183;0;3;2;6;3
34014;8;14;1;1,0;110;0;3;1;0;4
39841;15;13;22;1,0;73;0;3;0;0;6
29321;4;0;0;2,0;316;0;1;0;1;1
46243;23;19;39;0,5;150;0;2;1;2;1
9363;10;7;59;1,0;11;0;3;1;4;1
43058;19;16;33;0,5;174;0;2;1;5;1
25036;30;11;6;0,5;49;0;2;2;6;1
11469;12;19;42;0,5;281;0;2;1;2;2
36262;11;11;31;1,0;478;0;3;2;1;3
28995;3;15;23;0,5;313;1;2;1;3;1
1838;2;12;29;1,0;214;0;3;1;6;3
17902;21;6;26;0,5;260;0;2;1;1;1
2341;2;22;59;2,0;59;0;1;1;6;7
15865;18;9;16;1,0;111;0;3;0;0;1
8184;9;0;32;2,0;346;0;1;2;6;4
9350;10;7;45;5,0;173;0;0;1;4;1
33472;7;23;46;1,0;248;0;3;1;4;2
45697;23;1;41;1,0;208;1;3;2;2;1
8873;9;18;58;1,0;229;0;3;1;6;1
30915;5;11;16;5,0;181;0;0;2;5;1
22573;27;7;54;1,0;163;0;3;0;3;1
3313;3;19;13;1,0;73;0;3;2;4;3
19348;22;22;48;0,5;215;0;2;1;5;1
26384;1;2;36;1,0;246;1;3;2;0;2
23162;28;6;3;0,5;354;0;2;1;1;1
21436;25;14;18;1,0;232;0;3;1;0;3
33105;7;14;36;2,0;400;0;1;1;4;3
15490;17;20;12;1,0;161;0;3;1;4;2
47390;25;11;41;2,0;330;0;1;1;1;2
45201;22;8;52;1,0;193;0;3;1;0;2
3427;3;21;21;1,0;239;0;3;2;4;3
45118;22;6;3;0,5;187;0;2;1;0;1
23294;28;10;15;1,0;166;1;3;1;1;1
7395;8;6;8;1,0;256;0;3;1;5;3
34295;8;21;15;2,0;126;0;1;1;0;1
40279;16;1;33;2,0;233;1;1;0;2;2
39541;15;3;34;0,5;121;0;2;2;0;3
30673;5;5;47;1,0;177;0;3;1;5;1
41085;17;4;31;0,5;236;0;2;2;3;2
31123;5;15;46;1,0;206;0;3;1;5;3
42738;19;7;45;2,0;336;0;1;1;5;1
34344;8;22;45;1,0;120;0;3;2;0;1
12093;13;21;5;1,0;497;1;3;1;3;1
20268;24;1;56;5,0;39;1;0;2;4;2
13940;15;23;19;1,0;187;0;3;2;5;2
44907;21;23;1;1,0;78;0;3;2;4;1
43528;20;7;15;1,0;198;0;3;1;6;1
33486;8;0;5;1,0;107;1;3;1;0;1
33832;8;8;56;1,0;149;0;3;1;0;2
48689;26;23;40;1,0;188;0;3;1;5;2
11430;12;18;24;1,0;197;1;3;2;2;3
4498;4;22;41;0,5;241;0;2;1;0;1
36827;12;1;37;0,5;279;0;2;2;5;2
6494;7;8;29;0,5;166;0;2;1;1;1
3234;3;17;53;1,0;206;0;3;2;4;4
34852;9;14;22;2,0;226;0;1;2;2;1
40705;16;15;7;0,5;139;0;2;0;2;6
34237;8;19;49;1,0;123;0;3;1;0;1
