;amount;current_paid_fee;day;hour;minute;second
18002;93;0;20;8;19;49
24106;441;6;28;8;30;0
4066;275;10;3;12;21;34
22672;179;0;26;11;12;24
14228;42;4;15;7;31;35
9003;168;0;8;22;4;8
16609;219;2;18;7;44;34
23919;355;0;28;3;1;5
14754;269;0;15;21;46;46
8416;158;0;8;6;23;51
33499;130;1;6;23;12;22
14827;203;2;15;23;58;20
790;427;4;0;14;58;32
49931;271;0;27;9;49;57
41533;102;10;16;19;3;58
37013;218;0;11;4;57;18
28061;380;2;1;15;21;3
26620;317;8;0;7;7;48
31156;393;8;4;15;29;13
17639;209;8;19;21;26;32
31117;348;0;4;14;41;5
3069;232;0;2;14;11;50
29738;187;10;3;8;1;26
32014;289;1;5;11;28;3
39904;203;0;14;13;25;0
27880;183;8;1;11;46;20
20632;257;0;23;11;55;9
16996;223;2;18;20;34;2
34340;278;0;7;21;4;6
48098;201;2;25;6;1;31
29540;232;2;3;3;55;40
11699;311;4;12;4;35;51
49919;247;2;27;9;24;35
36306;279;0;10;11;17;0
1897;178;2;1;13;33;49
19761;181;0;22;10;25;10
33179;106;2;6;15;25;23
38745;264;0;13;1;48;24
43466;109;0;19;3;19;27
8141;259;0;7;23;14;47
29153;342;0;2;18;8;47
11513;96;0;11;20;51;29
18968;328;4;21;11;5;11
29012;335;0;2;14;41;43
5980;261;0;5;17;35;30
49280;254;0;26;14;41;1
21420;279;0;24;12;22;14
33261;213;1;6;17;26;0
40428;86;0;15;4;30;43
5838;344;2;5;13;1;4
5485;176;2;5;1;44;14
24732;384;1;29;1;21;4
6897;184;3;6;18;12;38
31760;176;2;5;5;30;3
35698;147;0;9;17;57;36
22790;352;3;26;15;55;6
26733;94;2;0;9;46;5
13648;106;3;14;14;54;31
24212;334;0;28;11;22;38
33612;240;2;7;1;47;25
5669;77;2;5;7;51;58
14914;196;0;16;2;14;2
19331;144;2;21;21;38;13
40051;146;0;14;17;8;25
49349;233;2;26;16;47;14
2876;244;0;2;9;26;57
14884;292;0;16;1;27;36
27497;317;7;1;1;56;38
9082;298;10;9;0;0;50
26965;235;1;0;14;25;48
6117;303;0;5;22;26;27
4085;217;8;3;12;41;16
6826;78;0;6;16;22;20
28244;152;0;1;19;33;28
49029;355;0;26;7;32;35
36093;254;0;10;6;19;58
34281;289;0;7;19;32;16
20787;3;1;23;17;6;3
40911;90;2;15;19;51;27
29675;160;0;3;6;40;57
47853;238;0;24;23;8;22
39953;267;0;14;14;36;10
32693;125;4;6;3;18;1
7954;180;2;7;18;43;0
45792;241;15;22;2;31;11
26658;91;0;0;8;0;20
1931;52;1;1;14;8;56
8447;279;0;8;7;39;26
20124;231;3;22;20;22;21
33864;201;0;7;8;27;42
7752;160;0;7;14;9;23
5986;98;0;5;17;45;24
24621;25;2;28;22;8;5
1953;252;0;1;14;42;13
23815;268;0;28;0;20;42
45011;471;4;21;0;14;32
7362;153;4;7;4;59;0
34176;129;4;7;17;11;48
12538;117;2;13;9;53;0
18082;41;3;20;10;25;40
38974;116;0;13;8;9;36
32393;251;2;5;20;26;37
42504;295;0;17;23;24;10
45140;249;0;21;4;20;13
42118;227;0;17;12;22;15
88;50;3;0;1;35;56
20573;95;2;23;10;6;40
19461;369;2;22;1;30;59
47755;248;14;24;20;29;3
21978;262;0;25;8;45;9
32909;149;4;6;8;23;10
29741;187;14;3;8;2;47
21474;39;0;24;14;35;57
37393;222;2;11;15;0;56
17969;252;0;20;7;32;17
35129;144;0;8;21;37;56
36452;122;0;10;15;2;57
40666;127;6;15;12;23;45
45443;31;4;21;14;26;46
13011;152;0;13;22;55;16
23094;183;0;27;3;15;35
48576;315;14;25;18;28;32
34210;236;4;7;17;56;9
8840;135;0;8;17;34;39
16734;450;4;18;11;53;31
20859;33;0;23;19;12;9
47932;288;0;25;1;13;0
25356;284;2;29;19;44;29
12412;250;3;13;6;42;2
22179;105;2;25;16;17;52
19487;103;11;22;2;9;7
10257;287;0;10;6;30;34
34024;309;0;7;12;31;28
48957;2;2;26;5;12;3
39981;231;0;14;15;22;53
47114;301;0;24;2;15;56
12611;253;0;13;12;19;6
41790;4;2;17;3;12;2
25205;221;0;29;15;21;5
43177;14;0;18;18;22;12
31833;227;2;5;7;24;55
43282;173;0;18;21;51;41
40737;163;2;15;14;35;19
5066;69;12;4;13;32;6
13925;299;12;14;22;15;9
42750;248;0;18;6;19;40
8033;136;2;7;20;33;48
4653;196;10;4;2;10;41
13316;138;6;14;6;31;5
43703;225;4;19;10;39;34
85;31;9;0;1;28;53
7539;211;12;7;9;14;45
21126;176;0;24;2;49;52
44506;248;0;20;8;33;9
30637;222;3;4;3;50;37
24478;170;0;28;18;14;53
45948;194;2;22;7;43;54
13277;143;4;14;5;23;59
38038;267;2;12;6;44;21
22245;113;0;25;18;57;47
17636;171;0;19;21;22;51
23254;180;0;27;8;8;1
25284;325;2;29;17;38;55
3091;164;0;2;14;45;26
48503;83;0;25;16;33;28
46285;267;0;22;18;54;12
3941;291;2;3;9;10;25
15743;104;0;17;3;53;6
16963;118;0;18;19;27;25
24010;104;0;28;5;27;16
37021;215;5;11;5;13;26
21755;205;5;25;0;16;42
39716;147;7;14;7;19;8
20305;136;0;23;2;6;42
39427;263;3;13;22;9;16
41997;162;0;17;9;16;12
42208;171;2;17;14;56;24
29421;33;2;3;1;27;7
19764;147;0;22;10;28;27
23409;254;2;27;12;27;41
33680;197;0;7;3;46;40
41965;160;4;17;8;11;12
3264;350;12;2;18;13;20
7317;168;0;7;3;59;40
18376;145;0;20;18;50;52
16961;245;4;18;19;23;24
13101;96;0;14;1;11;56
16836;439;0;18;15;26;48
27943;23;2;1;13;6;35
44787;245;0;20;16;52;52
27902;242;2;1;12;12;50
9579;249;0;9;13;31;33
43081;160;0;18;15;41;22
35101;289;0;8;20;30;44
1229;259;0;0;23;23;49
33399;136;0;6;20;53;33
8651;208;4;8;12;34;48
7668;390;0;7;12;25;33
45109;403;0;21;3;21;34
3176;309;0;2;16;36;6
7863;273;2;7;16;27;37
9774;259;8;9;18;26;45
24291;169;2;28;13;35;18
38938;257;4;13;7;1;38
41303;198;0;16;11;29;14
9150;156;1;9;1;36;54
12162;70;0;12;22;54;0
38036;164;0;12;6;41;55
33197;96;0;6;15;52;47
21772;389;1;25;0;49;51
24688;171;4;29;0;2;58
17447;232;0;19;12;58;18
38120;204;0;12;9;8;44
321;267;0;0;6;33;34
21860;222;0;25;4;31;6
7010;150;0;6;20;31;20
15570;223;0;16;22;0;54
50149;89;0;27;16;5;36
39207;99;12;13;15;48;59
3383;285;0;2;20;28;58
10959;202;5;11;2;47;50
22862;149;2;26;19;5;51
34908;166;0;8;14;30;49
30372;396;0;3;21;57;12
36415;226;0;10;13;54;46
8610;227;2;8;11;28;23
25922;207;0;30;12;41;57
9248;252;4;9;4;2;22
2140;152;0;1;18;48;35
48603;288;0;25;19;30;40
34022;266;2;7;12;27;46
47692;231;0;24;18;46;54
22004;104;4;25;9;45;13
7223;38;4;7;1;23;13
28784;283;2;2;9;14;20
20003;150;5;22;17;1;1
22342;309;0;25;22;22;55
41731;292;23;17;1;39;8
42057;198;0;17;10;50;46
1530;126;9;1;6;2;57
28711;227;0;2;6;53;57
2929;105;0;2;10;24;24
5799;123;2;5;11;40;7
27093;76;4;0;17;14;13
11204;345;2;11;10;9;55
18911;254;0;21;9;21;59
6754;255;2;6;14;54;42
38809;208;6;13;3;25;50
12902;66;12;13;20;13;11
3508;167;10;2;23;16;18
21822;139;0;25;2;36;44
5358;347;0;4;22;1;19
48126;87;1;25;6;42;1
10320;99;4;10;8;15;12
33614;391;0;7;1;49;22
9704;155;1;9;17;2;19
31124;154;9;4;14;48;42
47947;136;0;25;1;41;29
24872;288;0;29;4;58;43
48996;190;2;26;6;13;20
7834;29;0;7;15;51;53
18805;178;8;21;6;41;25
42649;356;0;18;3;45;33
13681;133;0;14;15;52;29
18662;122;0;21;2;45;7
30277;199;10;3;19;54;42
29260;91;0;2;21;11;57
18304;167;0;20;17;3;5
40802;222;14;15;16;8;55
47995;223;3;25;3;14;42
38838;226;0;13;4;28;18
24711;117;6;29;0;49;8
16168;104;0;17;17;28;46
11405;28;2;11;16;41;4
33090;225;0;6;12;45;27
26484;199;0;0;3;59;50
31234;123;22;4;16;58;4
37368;163;0;11;14;16;53
4061;359;1;3;12;15;53
21546;277;2;24;17;30;48
298;129;7;0;5;54;12
33318;349;4;6;18;47;52
12839;222;13;13;18;48;11
22344;309;6;25;22;23;28
6281;204;0;6;2;42;1
29449;159;3;3;1;57;13
32557;225;0;5;23;51;34
39631;68;5;14;4;32;5
2498;179;0;2;1;55;26
28720;143;0;2;7;5;21
33842;230;0;7;7;35;57
23260;145;0;27;8;24;34
1338;275;0;1;2;2;41
293;349;2;0;5;49;56
18750;112;0;21;5;27;59
37267;206;0;11;11;53;13
4072;284;6;3;12;30;42
16153;80;2;17;16;56;43
13522;142;2;14;11;11;26
37057;414;0;11;5;59;43
37370;163;4;11;14;17;19
29496;154;2;3;2;56;53
19825;295;0;22;12;4;2
17925;170;0;20;6;24;44
26503;86;0;0;4;26;22
25327;230;0;29;18;39;8
11626;281;0;12;2;1;55
27671;120;3;1;6;0;8
19120;381;0;21;15;52;38
20339;269;0;23;3;1;20
48030;188;0;25;4;15;36
4916;243;0;4;9;19;0
10546;429;0;10;15;14;22
46244;241;0;22;17;29;7
18123;81;0;20;11;35;50
37423;20;4;11;15;52;56
27148;202;0;0;18;25;52
29827;129;0;3;10;15;0
43204;159;0;18;19;19;27
38611;315;0;12;21;54;43
11567;404;0;11;23;17;23
9016;235;0;8;22;19;57
380;254;0;0;7;41;32
7713;175;0;7;13;18;18
12188;165;5;12;23;59;58
10747;380;6;10;20;46;15
27252;213;0;0;20;49;12
29184;137;0;2;19;4;48
27847;250;0;1;10;51;30
29857;126;0;3;10;56;24
12954;186;2;13;21;31;34
50306;170;0;27;20;50;29
29324;279;4;2;22;37;57
11355;247;0;11;15;20;55
37897;125;0;12;3;13;9
40859;65;4;15;17;56;41
39249;217;0;13;16;55;47
8186;215;2;8;0;18;5
35655;202;0;9;16;53;56
49102;352;2;26;9;38;24
32072;155;12;5;12;37;50
40099;94;15;14;18;15;39
49916;31;4;27;9;16;15
14826;203;0;15;23;58;1
41697;107;4;17;0;43;8
26254;271;2;30;22;28;35
35377;233;0;9;6;19;29
27665;236;1;1;5;52;3
9152;39;2;9;1;38;47
6071;96;0;5;20;46;52
47594;381;0;24;15;29;30
11462;128;0;11;18;48;52
49795;214;0;27;5;45;56
15842;388;0;17;7;37;16
24664;138;3;28;23;24;4
26530;123;0;0;5;2;6
42038;301;0;17;10;11;19
40742;150;2;15;14;41;5
34515;304;0;8;2;21;14
9328;33;2;9;6;50;17
8355;171;5;8;4;39;32
19204;330;0;21;18;28;19
25303;248;0;29;18;8;15
35620;117;2;9;15;37;42
6343;122;0;6;4;10;43
1610;237;6;1;7;33;35
32002;298;0;5;11;12;30
39237;197;1;13;16;38;12
24844;95;0;29;4;25;29
31800;233;11;5;6;30;18
38189;189;0;12;10;34;11
46541;220;2;23;3;19;32
31871;319;0;5;8;8;3
9954;459;0;9;22;45;49
14594;264;2;15;17;54;10
30006;81;0;3;13;53;47
41947;202;0;17;7;44;39
8978;42;0;8;21;17;41
35987;236;2;10;3;32;11
23848;336;6;28;1;19;4
39134;300;2;13;13;6;1
23357;335;1;27;11;9;41
36685;9;0;10;20;53;38
36995;320;0;11;4;31;43
6058;335;0;5;20;24;55
16435;220;0;18;2;8;43
34056;185;0;7;13;43;6
30064;116;0;3;15;5;30
47606;144;2;24;15;56;40
36667;341;9;10;20;13;25
32156;163;1;5;14;36;8
21640;180;6;24;20;49;16
47918;317;6;25;0;54;46
27259;155;0;0;20;57;42
32041;237;11;5;12;0;54
39819;167;2;14;10;38;1
46395;354;3;22;21;59;5
5814;98;0;5;12;7;29
45970;121;2;22;8;30;55
30474;342;0;4;0;45;18
7218;206;0;7;1;17;55
13931;258;0;14;22;25;5
49201;257;4;26;12;30;41
37351;379;0;11;13;50;3
7542;162;0;7;9;23;31
14223;206;0;15;7;25;7
34483;209;0;8;1;18;33
2926;193;3;2;10;19;53
12107;142;0;12;20;53;43
2697;455;2;2;5;54;11
9382;108;0;9;8;6;19
29876;80;4;3;11;18;47
50258;457;0;27;19;24;55
11198;32;0;11;9;59;27
30756;125;0;4;6;36;39
21595;234;0;24;18;57;43
6384;217;0;6;5;2;54
46835;284;0;23;15;40;35
25320;312;0;29;18;28;50
40450;43;1;15;5;14;33
459;252;4;0;9;0;46
10560;176;0;10;15;41;40
17623;262;0;19;20;50;38
7074;182;0;6;21;51;28
3082;184;2;2;14;37;5
32529;180;0;5;23;12;22
12921;216;2;13;20;46;1
14907;185;0;16;2;0;31
18537;213;2;20;22;58;13
25750;224;2;30;7;12;24
25066;246;11;29;11;1;26
43748;259;2;19;11;55;53
27700;130;0;1;6;35;23
16452;351;0;18;2;38;30
26692;241;2;0;8;46;57
5327;132;0;4;21;16;23
21048;65;4;24;0;40;50
31962;413;0;5;10;20;55
13364;219;2;14;7;31;24
3353;215;0;2;19;55;27
6327;155;4;6;3;49;21
27303;42;5;0;21;48;28
38694;291;13;13;0;17;21
27645;322;2;1;5;30;6
34338;189;0;7;20;59;15
28433;69;0;1;23;19;34
25584;300;4;30;2;39;23
17444;182;3;19;12;49;2
1385;384;10;1;3;0;7
9547;231;0;9;12;32;42
5963;34;0;5;16;59;1
11367;186;0;11;15;30;21
33532;337;6;6;23;53;33
19854;111;1;22;13;13;57
19001;161;2;21;12;18;55
44073;139;2;19;20;54;27
23498;97;0;27;14;44;8
933;250;12;0;17;37;10
44249;268;1;20;1;28;31
29076;156;0;2;16;27;53
12832;287;5;13;18;41;39
47597;243;0;24;15;40;21
8217;181;0;8;1;5;56
25211;281;0;29;15;33;32
38930;242;2;13;6;50;20
8324;156;2;8;3;59;55
36125;234;0;10;7;17;42
3410;165;5;2;20;52;46
46789;150;0;23;13;58;21
24431;227;0;28;17;9;30
113;180;0;0;2;1;48
6777;159;0;6;15;28;9
2771;32;4;2;7;22;38
11784;81;0;12;7;26;18
10370;182;5;10;9;25;13
30393;77;2;3;22;28;34
7651;35;0;7;11;44;45
29413;308;0;3;1;13;32
47012;303;15;23;23;1;15
3511;101;0;2;23;19;31
17784;288;3;20;2;4;19
3119;76;0;2;15;23;47
30058;320;0;3;15;0;7
36128;370;2;10;7;19;36
8237;215;0;8;1;39;27
11964;227;1;12;14;24;54
43451;197;0;19;2;56;47
10697;310;4;10;19;47;55
2320;142;2;1;22;22;56
44330;503;2;20;3;17;49
45726;94;0;22;0;27;53
12782;193;6;13;17;2;36
3122;237;0;2;15;29;14
35986;236;0;10;3;32;5
27778;100;0;1;8;50;36
31593;66;1;5;1;22;13
12434;122;0;13;7;29;57
30324;414;2;3;20;55;11
46166;140;4;22;14;57;27
40939;228;2;15;20;43;33
50397;17;8;27;23;31;8
29763;214;0;3;8;37;34
28729;217;0;2;7;22;53
895;453;2;0;17;1;17
20075;170;2;22;19;19;56
43806;91;3;19;13;21;17
32338;325;0;5;19;9;17
10090;128;0;10;2;7;34
1830;337;0;1;12;13;38
44513;265;4;20;8;42;43
19466;155;4;22;1;34;47
7241;53;4;7;2;4;32
36775;224;0;10;22;57;21
4728;205;0;4;4;27;56
47732;389;0;24;19;56;50
11856;249;0;12;10;36;23
46110;91;11;22;13;19;11
21422;398;0;24;12;24;23
26410;193;6;0;2;22;45
27164;378;0;0;18;54;39
18775;278;0;21;5;58;8
26195;14;0;30;20;54;7
13962;181;4;14;23;19;53
34590;336;3;8;4;30;46
42360;87;4;17;19;11;41
38955;117;0;13;7;29;19
17243;253;0;19;5;28;20
3921;215;0;3;8;53;33
31477;277;0;4;22;49;55
23445;172;4;27;13;18;5
38821;29;0;13;3;46;23
13166;110;0;14;2;51;44
49676;143;0;27;2;28;56
36947;289;0;11;3;28;42
22272;96;0;25;19;38;52
42609;54;1;18;2;28;21
47408;123;0;24;10;5;3
1351;214;0;1;2;25;6
48862;114;0;26;2;15;14
39466;29;0;13;23;14;11
104;316;0;0;1;47;23
25674;248;1;30;5;11;4
33818;305;10;7;6;51;55
48497;325;0;25;16;19;1
4825;286;0;4;7;7;37
49478;213;10;26;20;38;23
14830;234;1;16;0;3;34
10730;50;2;10;20;25;21
36183;29;0;10;8;34;10
4972;156;0;4;10;42;10
32246;200;0;5;16;47;36
18612;190;4;21;1;3;57
47420;51;5;24;10;26;45
36879;127;0;11;1;36;13
27191;250;7;0;19;31;31
48315;188;9;25;11;18;0
46688;181;0;23;9;44;30
1459;290;12;1;4;21;41
49314;168;2;26;15;44;57
46792;32;0;23;14;3;22
5083;208;0;4;13;55;41
15315;280;1;16;13;50;35
23766;216;5;27;22;43;23
8575;419;0;8;10;31;50
34379;168;2;7;22;16;34
38634;141;0;12;22;34;17
18363;250;0;20;18;30;59
1494;251;1;1;5;21;41
47641;163;0;24;17;4;40
31173;100;0;4;15;52;14
39693;246;0;14;6;34;7
14796;63;0;15;22;58;47
4929;100;1;4;9;37;27
16819;173;4;18;14;55;44
28364;246;0;1;21;56;23
47369;262;0;24;9;18;20
31657;234;10;5;2;58;45
45248;195;9;21;8;11;15
16595;115;0;18;7;23;21
38637;141;0;12;22;39;45
5330;199;0;4;21;20;23
17099;203;0;18;23;42;23
12068;254;0;12;18;27;39
28891;207;2;2;11;53;14
16846;347;0;18;15;41;0
20688;378;0;23;13;21;21
41566;185;1;16;20;24;57
30861;422;2;4;9;3;42
5427;237;0;4;23;52;7
29435;241;0;3;1;41;16
26323;360;2;0;0;29;0
29157;67;2;2;18;19;46
2318;61;3;1;22;16;24
49649;229;6;27;1;27;54
4984;120;0;4;11;8;19
44105;69;0;19;21;38;12
996;211;0;0;18;37;30
29280;207;0;2;21;48;19
28846;303;0;2;10;45;45
28062;380;3;1;15;21;47
6037;285;10;5;19;29;59
15252;291;4;16;12;1;55
4502;165;9;3;22;38;26
16255;311;0;17;19;59;46
46788;39;0;23;13;54;37
21187;223;0;24;4;34;15
20989;259;2;23;22;52;1
48977;187;0;26;5;42;19
22985;276;4;26;23;49;57
17484;232;12;19;14;13;57
18396;348;0;20;19;20;43
44156;87;6;19;22;44;51
27011;30;4;0;15;38;20
3362;198;2;2;20;3;40
47833;70;2;24;22;28;6
49604;256;4;27;0;7;33
42772;101;0;18;6;49;1
25129;167;0;29;12;53;33
47704;206;0;24;19;12;46
40744;192;4;15;14;43;6
32533;177;5;5;23;13;51
9418;229;0;9;9;11;34
25111;347;1;29;12;21;42
26448;262;0;0;3;15;45
16686;296;14;18;10;16;43
33900;366;0;7;9;26;18
44430;407;0;20;6;10;21
39043;272;1;13;10;11;46
35964;188;0;10;2;48;1
12071;303;0;12;18;50;19
17547;69;2;19;17;15;36
33469;413;1;6;22;31;23
32410;210;8;5;20;44;25
24775;276;0;29;2;34;25
13630;105;0;14;14;28;59
9858;103;0;9;20;41;4
7387;157;0;7;5;37;44
32227;189;0;5;16;23;45
25907;46;0;30;12;2;43
36036;353;0;10;4;57;4
31382;124;9;4;20;35;58
47769;120;4;24;20;55;17
40903;199;0;15;19;40;43
40155;276;0;14;19;54;13
3701;222;4;3;3;50;1
48000;190;1;25;3;24;1
8215;117;7;8;1;0;32
39879;398;0;14;12;40;28
28348;208;2;1;21;35;44
47276;170;23;24;6;46;25
32426;200;0;5;21;1;1
28935;125;2;2;12;51;17
46252;203;0;22;17;44;44
15527;247;13;16;20;48;55
45126;145;2;21;3;51;25
10031;356;0;10;0;36;38
21641;180;7;24;20;49;30
6636;136;10;6;11;40;44
35378;233;2;9;6;19;55
12135;244;0;12;21;59;59
41925;133;0;17;7;1;27
19962;115;0;22;15;57;0
47427;368;4;24;10;47;7
5309;92;0;4;20;44;44
1103;194;5;0;20;59;58
21412;82;0;24;12;15;18
8555;241;3;8;10;12;53
16798;77;0;18;14;5;15
9898;162;2;9;21;33;13
783;34;0;0;14;54;21
16343;444;0;17;22;56;51
45957;36;0;22;8;15;50
2521;276;2;2;2;11;11
34718;275;6;8;8;42;52
23579;109;0;27;17;5;14
36807;216;0;10;23;39;42
48133;241;0;25;7;5;13
31775;180;0;5;5;54;10
9778;176;2;9;18;37;10
2932;104;0;2;10;27;32
7620;31;5;7;10;57;16
37786;273;5;12;0;35;31
31698;286;0;5;3;48;25
14942;107;15;16;3;0;46
18042;93;0;20;9;27;27
10432;338;0;10;11;31;41
6462;143;4;6;7;12;57
1255;123;0;0;23;56;32
25829;175;0;30;9;29;25
43566;242;4;19;6;37;15
40907;104;0;15;19;46;57
2280;297;4;1;21;26;13
13754;79;0;14;17;39;3
23443;206;0;27;13;16;3
39972;197;0;14;15;11;59
38843;8;2;13;4;36;34
37972;284;12;12;5;15;1
34791;215;0;8;10;59;36
23458;331;0;27;13;46;39
31461;195;2;4;22;27;1
35288;82;0;9;2;56;0
46596;132;0;23;5;47;10
27591;164;0;1;4;8;35
11684;128;0;12;4;5;49
32445;146;2;5;21;24;47
11045;3;0;11;5;32;3
47906;244;0;25;0;34;50
43632;224;0;19;8;24;15
36172;82;0;10;8;25;38
11598;186;4;12;0;38;2
9345;129;19;9;7;13;41
42684;295;0;18;4;40;58
36369;193;0;10;12;50;39
35482;358;0;9;10;35;35
20715;155;0;23;14;13;24
17228;124;0;19;5;11;48
25087;145;0;29;11;50;2
26573;156;0;0;5;58;46
25243;18;0;29;16;24;52
39875;197;0;14;12;35;59
17647;166;4;19;21;45;16
29744;307;0;3;8;4;40
28487;67;2;2;1;4;5
43999;244;0;19;18;52;56
8622;206;8;8;11;43;36
1330;152;0;1;1;50;55
3887;199;0;3;8;11;3
9512;265;4;9;11;42;32
29818;360;0;3;9;55;23
42720;143;12;18;5;44;55
7545;147;6;7;9;26;5
30845;194;0;4;8;46;16
41881;155;0;17;5;44;15
751;320;1;0;14;11;6
43344;223;0;19;0;1;2
31420;368;2;4;21;20;46
43577;373;2;19;6;48;43
23240;108;2;27;7;51;49
15931;309;0;17;10;39;56
35085;245;0;8;20;3;55
15568;178;10;16;21;57;54
42883;140;2;18;9;45;15
38695;291;15;13;0;17;58
44136;155;0;19;22;14;35
13106;314;7;14;1;16;28
14918;186;4;16;2;19;5
38841;187;0;13;4;34;59
11775;95;0;12;7;11;32
5575;132;4;5;4;53;29
19926;210;0;22;14;44;2
16136;245;0;17;16;32;17
35065;119;0;8;19;24;29
44722;276;1;20;14;57;0
7931;109;2;7;18;6;30
7476;31;1;7;7;57;57
36722;150;0;10;21;43;58
34950;142;4;8;16;4;23
20084;273;0;22;19;31;58
10501;33;0;10;13;53;18
12600;202;5;13;11;55;6
48105;74;0;25;6;9;28
13021;50;0;13;23;9;49
43968;42;0;19;17;46;41
27629;162;0;1;5;11;44
44120;240;3;19;21;52;5
34156;93;0;7;16;45;30
13208;83;9;14;3;48;52
1660;167;3;1;8;29;4
32756;28;9;6;4;50;11
8119;310;6;7;22;44;15
21238;57;0;24;6;37;30
20831;271;7;23;18;14;55
3848;199;0;3;7;16;7
22969;187;1;26;23;23;41
35058;177;0;8;19;13;4
8985;91;0;8;21;32;38
4945;385;2;4;10;6;34
4266;244;0;3;17;9;50
30076;141;0;3;15;21;0
18972;140;0;21;11;10;41
13834;13;0;14;20;5;37
16936;227;6;18;18;47;20
6127;181;0;5;22;47;47
7864;273;3;7;16;27;41
16367;287;0;17;23;43;15
3687;221;0;3;3;32;46
19308;73;0;21;20;56;18
25098;284;10;29;12;4;18
29141;234;0;2;17;46;56
43693;212;0;19;10;25;46
49379;248;0;26;17;49;50
45312;378;0;21;10;24;6
42322;209;0;17;17;59;36
21231;196;0;24;6;13;28
10260;365;0;10;6;34;8
13492;24;0;14;10;33;46
3047;149;10;2;13;39;1
45599;117;0;21;19;31;4
22468;226;0;26;2;48;29
36261;253;4;10;10;20;33
26527;232;0;0;4;59;0
12607;217;6;13;12;3;41
30392;77;0;3;22;27;39
39077;115;0;13;11;18;22
5016;174;0;4;12;22;31
2371;182;0;1;23;19;15
30647;191;3;4;4;0;54
16221;124;0;17;19;3;26
42379;231;2;17;19;39;57
14117;196;10;15;4;13;20
49099;302;0;26;9;31;48
9708;176;2;9;17;6;39
10888;115;0;11;0;47;10
33191;496;2;6;15;41;54
12148;282;0;12;22;37;29
44628;214;4;20;11;57;59
8067;137;0;7;21;33;24
35162;276;0;8;22;32;50
27637;279;0;1;5;21;2
30757;39;0;4;6;40;27
24637;161;0;28;22;36;32
14917;186;2;16;2;18;29
29569;318;0;3;4;31;52
24963;183;0;29;7;49;33
27395;259;2;0;23;43;58
127;273;2;0;2;14;51
26208;176;0;30;21;18;31
41429;299;7;16;15;27;13
24663;138;2;28;23;23;59
32653;63;7;6;2;4;43
40993;91;0;15;22;36;1
27036;256;0;0;16;3;8
44270;114;0;20;2;0;26
6657;110;0;6;12;22;15
10359;98;9;10;9;4;0
46027;276;0;22;10;37;6
14879;173;0;16;1;21;46
36345;204;0;10;12;18;56
23677;35;2;27;20;10;18
4349;183;0;3;19;7;15
44205;222;0;20;0;23;4
41076;169;4;16;2;14;17
31683;134;8;5;3;31;20
30350;243;0;3;21;25;24
841;108;0;0;16;8;51
28103;276;1;1;16;10;47
38979;154;0;13;8;14;40
4977;276;0;4;10;50;37
4565;152;2;3;23;52;14
36043;207;0;10;5;7;57
46152;319;0;22;14;31;24
38180;152;2;12;10;19;56
26055;267;4;30;16;38;56
32816;19;2;6;6;5;33
13144;215;5;14;2;18;33
19808;158;0;22;11;43;23
21356;253;0;24;10;22;56
4406;266;0;3;20;28;43
10876;194;4;11;0;24;5
3456;44;0;2;22;3;7
27227;313;8;0;20;6;2
9897;162;1;9;21;33;2
38875;274;4;13;5;41;5
23436;225;0;27;13;9;3
45247;195;5;21;8;10;22
48175;172;0;25;8;14;46
49069;227;0;26;8;34;48
39437;248;0;13;22;31;36
47907;201;0;25;0;40;43
11106;265;0;11;7;1;28
19609;130;0;22;6;6;50
15011;125;0;16;4;43;41
20815;36;2;23;17;53;29
38722;232;0;13;1;3;11
17034;254;2;18;21;45;4
22895;234;1;26;20;29;11
17605;197;0;19;19;41;17
36968;272;0;11;3;46;15
46063;209;0;22;11;43;1
43517;164;0;19;4;53;15
6679;249;0;6;13;0;20
49249;193;0;26;13;48;45
15308;73;6;16;13;43;5
28905;260;2;2;12;17;38
30182;344;4;3;17;37;25
46534;51;2;23;2;43;34
43540;245;0;19;5;32;38
20892;106;0;23;20;18;0
31011;92;0;4;12;27;5
41250;291;2;16;8;59;51
21547;67;0;24;17;34;34
44318;176;12;20;3;7;35
46496;171;0;23;1;28;4
47992;264;2;25;3;12;33
20486;379;0;23;7;27;53
23873;191;2;28;2;6;10
37461;265;0;11;16;42;29
2471;164;0;2;1;12;19
47009;303;7;23;22;59;58
33239;164;10;6;17;1;7
7026;151;2;6;20;52;22
21163;394;0;24;3;54;57
21299;206;1;24;8;35;51
45184;115;2;21;6;7;16
1455;176;9;1;4;16;35
38275;193;0;12;12;52;25
33141;241;0;6;14;20;17
26180;148;4;30;20;33;8
35314;292;0;9;3;55;43
20391;152;0;23;4;11;57
43093;268;0;18;15;57;37
10580;146;5;10;16;8;41
30709;255;0;4;5;27;52
22049;105;2;25;11;16;11
17935;181;0;20;6;34;1
47317;339;0;24;7;52;40
8387;48;0;8;5;32;14
4312;198;0;3;18;14;13
10714;238;0;10;20;6;40
47784;233;2;24;21;24;9
35818;176;0;9;22;52;26
10080;314;0;10;1;50;2
8664;165;10;8;12;56;31
39179;183;0;13;14;37;45
8688;194;10;8;13;38;19
22109;228;0;25;13;26;52
4320;32;0;3;18;27;49
39357;21;0;13;19;55;23
41146;230;1;16;4;31;53
10551;174;3;10;15;24;12
17028;405;0;18;21;33;19
40823;146;0;15;16;50;29
38647;277;9;12;22;53;38
