;day;hour;minute;fail_fee;amount;3D_secured;encoded_PSP;encoded_card;encoded_weekday;current_number_of_try
32473;5;23;6;2;395;0;1;0;6;0
43459;19;4;58;1;207;0;3;1;6;1
42937;18;13;20;1;268;0;3;0;5;1
37104;11;8;39;1;188;0;3;2;5;1
24415;28;17;32;1;293;0;3;0;5;1
30093;3;16;36;0;169;0;2;1;1;0
17281;19;7;44;1;186;0;3;0;3;0
48846;26;3;58;1;235;0;3;1;6;0
45264;21;11;0;1;268;0;3;1;0;2
22734;26;14;50;2;244;1;1;1;3;0
1677;1;9;3;2;290;1;1;0;6;1
19120;21;16;39;1;281;1;3;1;5;0
92;0;1;38;1;318;0;3;2;5;2
35936;10;3;33;1;236;0;3;2;1;3
14655;15;20;0;2;287;0;1;1;6;2
3915;3;8;54;1;215;0;3;2;0;1
28964;2;14;31;2;157;0;1;2;3;0
29584;3;5;34;0;176;1;2;1;1;0
12042;12;18;2;1;174;0;3;2;3;0
35828;10;0;47;1;94;0;3;2;1;0
48537;25;19;43;1;258;0;3;1;5;0
42973;18;14;28;1;106;0;3;1;5;0
23149;27;5;23;0;206;1;2;1;1;0
50275;27;22;16;1;183;0;3;1;4;1
24012;28;6;35;1;313;0;3;1;5;1
3891;3;8;22;1;308;1;3;2;0;0
2252;1;21;1;0;241;1;2;1;6;0
13204;14;4;12;3;90;1;0;1;5;0
46634;23;10;0;1;321;0;3;1;3;0
2391;1;23;38;1;266;0;3;1;6;0
3781;3;5;59;1;266;0;3;1;0;4
26921;0;14;12;1;85;1;3;1;0;1
1292;1;0;55;2;185;0;1;1;6;1
36147;10;9;2;3;72;0;0;0;1;0
5735;5;10;8;1;72;1;3;2;3;2
89;0;1;37;0;186;1;2;0;5;1
30308;3;21;26;0;95;0;2;2;1;1
8028;7;20;43;1;331;0;3;1;5;0
31623;5;3;19;1;169;1;3;2;6;4
29128;2;18;43;1;175;0;3;2;3;0
30785;4;8;23;2;101;0;1;1;5;0
18775;21;6;34;0;205;0;2;2;5;2
12660;13;14;17;2;340;0;1;1;1;0
27193;0;20;7;0;53;0;2;1;0;1
36275;10;11;51;0;42;1;2;1;1;0
16190;17;18;52;0;75;0;2;1;0;3
43487;19;5;54;1;37;0;3;0;6;0
32153;5;15;30;1;59;1;3;2;6;1
40512;15;9;29;0;191;0;2;0;2;0
38082;12;9;26;1;162;0;3;1;6;1
53;0;1;1;3;251;1;0;1;5;1
26414;0;3;15;0;262;0;2;1;0;0
30660;4;5;22;3;259;0;0;2;5;2
5484;5;1;56;2;187;0;1;2;3;2
5910;5;15;59;1;336;0;3;1;3;0
38655;13;0;48;1;159;1;3;1;4;0
22497;26;4;25;3;236;1;0;1;3;0
21131;24;3;48;0;139;0;2;0;0;0
47817;25;0;11;1;357;0;3;2;5;0
19666;22;8;16;1;220;0;3;0;6;7
17381;19;11;7;1;149;0;3;2;3;1
27488;1;2;42;1;259;1;3;1;2;1
35322;9;6;9;2;374;0;1;1;3;0
32952;6;10;39;0;359;0;2;1;4;0
310;0;6;20;1;140;0;3;1;5;1
1886;1;13;26;1;367;1;3;1;6;0
37236;11;12;24;1;70;0;3;1;5;2
13250;14;5;12;0;124;1;2;2;5;2
1247;0;23;47;0;159;1;2;1;5;0
27813;1;10;58;1;158;1;3;0;2;0
29795;3;10;28;2;191;0;1;2;1;2
25806;30;9;42;0;122;0;2;0;4;2
46165;22;17;0;1;63;1;3;2;2;0
37457;11;18;6;1;208;0;3;1;5;4
875;0;16;45;0;143;0;2;1;5;6
23931;28;4;15;2;214;0;1;0;5;0
7623;7;11;20;0;225;1;2;1;5;0
11277;11;13;9;1;168;0;3;2;2;0
13633;14;15;4;2;302;0;1;1;5;2
12245;13;2;12;2;40;0;1;1;1;0
41722;17;3;8;2;52;0;1;1;1;0
40026;14;17;57;3;141;0;0;0;0;3
30709;4;6;35;1;236;0;3;2;5;0
46074;22;14;11;0;205;1;2;1;2;2
26733;0;10;30;0;114;0;2;2;0;0
3038;2;13;38;1;149;1;3;1;4;2
37793;12;2;15;1;154;0;3;2;6;2
36112;10;8;16;1;156;0;3;2;1;2
18183;20;14;13;2;96;0;1;0;1;0
29645;3;6;58;1;274;0;3;0;1;1
14508;15;15;48;1;290;0;3;0;6;2
26735;0;10;32;2;114;0;1;2;0;2
44056;19;21;52;0;240;0;2;0;6;1
14208;15;7;32;0;42;0;2;0;6;4
44467;20;9;26;1;10;0;3;2;4;1
19746;22;10;40;0;43;0;2;1;6;1
3904;3;8;35;0;182;0;2;1;0;0
43033;18;16;3;1;93;0;3;1;5;0
6005;5;18;54;0;172;0;2;1;3;0
39792;14;11;58;1;327;0;3;1;0;0
29196;2;20;25;0;5;0;2;1;3;0
42379;17;21;31;1;134;1;3;1;1;1
4140;3;14;30;1;96;0;3;2;0;0
27988;1;14;50;1;264;0;3;1;2;0
31328;4;20;32;1;124;0;3;1;5;1
24109;28;9;29;3;251;0;0;2;5;0
29738;3;9;10;1;172;0;3;2;1;1
187;0;3;38;1;101;1;3;1;5;0
8948;8;20;46;1;9;0;3;1;6;2
28852;2;11;54;1;207;0;3;1;3;4
32650;6;3;27;0;235;1;2;0;4;0
4638;4;2;7;2;236;0;1;2;2;0
40862;15;20;14;1;158;1;3;1;2;0
33327;6;20;28;0;200;1;2;2;4;1
49151;26;13;7;1;99;0;3;1;6;3
19985;22;17;11;1;328;0;3;2;6;1
17819;20;4;3;1;222;0;3;1;1;2
42902;18;12;14;0;326;1;2;2;5;1
7355;7;5;4;1;208;1;3;1;5;0
16899;18;18;16;1;79;0;3;1;2;0
1712;1;9;58;0;312;0;2;0;6;0
11898;12;12;43;1;125;0;3;0;3;0
11181;11;9;57;2;204;0;1;2;2;0
17242;19;6;29;1;122;0;3;1;3;0
33974;7;12;32;1;309;0;3;0;0;1
5897;5;15;14;0;167;0;2;2;3;1
48382;25;15;15;2;117;0;1;2;5;0
22965;27;0;6;0;261;0;2;1;1;1
24049;28;7;38;1;146;0;3;0;5;1
32614;6;2;24;1;140;0;3;1;4;0
2236;1;20;41;1;167;0;3;1;6;1
25309;29;19;9;1;83;0;3;1;6;0
16207;17;19;21;0;93;0;2;0;0;0
16572;18;7;23;1;115;0;3;1;2;0
26402;0;3;0;2;203;0;1;1;0;0
2547;2;2;51;1;310;0;3;1;4;3
46812;23;17;21;0;277;0;2;1;3;1
48319;25;13;11;0;120;0;2;0;5;0
44383;20;6;41;1;268;1;3;0;4;1
30893;4;10;40;1;163;1;3;1;5;3
15403;16;16;55;0;264;0;2;1;4;0
16474;18;4;8;2;306;1;1;2;2;1
47896;25;2;11;2;320;0;1;0;5;0
26007;30;16;14;2;62;0;1;1;4;1
17759;20;2;4;2;288;0;1;1;1;2
13308;14;6;47;1;248;0;3;0;5;1
8285;8;3;30;1;185;1;3;2;6;0
47508;24;15;8;1;184;0;3;1;1;1
31187;4;16;58;1;123;0;3;0;5;6
35603;9;16;55;0;385;1;2;0;3;0
17126;19;2;7;1;305;0;3;2;3;0
20442;23;6;51;1;259;0;3;2;4;0
22162;25;16;39;1;482;1;3;2;2;0
44499;20;10;17;0;84;0;2;1;4;1
28010;1;15;8;1;247;0;3;0;2;3
32889;6;9;9;1;195;0;3;1;4;0
24788;29;3;36;2;232;0;1;1;6;0
20853;23;19;47;2;112;0;1;0;4;0
9674;9;16;38;0;227;1;2;1;4;2
30998;4;13;10;0;141;1;2;2;5;0
26448;0;3;55;1;20;0;3;1;0;1
30475;4;1;43;1;294;0;3;1;5;2
41714;17;2;48;1;319;1;3;0;1;1
8944;8;20;39;1;84;0;3;1;6;0
19235;21;19;48;0;182;0;2;1;5;0
334;0;6;47;1;184;0;3;1;5;3
8408;8;6;28;1;37;0;3;1;6;0
23239;27;8;31;1;159;0;3;1;1;0
81;0;1;26;0;31;0;2;1;5;1
12518;13;9;52;1;117;0;3;2;1;0
15924;17;11;12;3;294;0;0;1;0;0
7787;7;15;9;1;188;0;3;0;5;0
6164;5;23;58;0;294;0;2;1;3;3
19461;22;2;8;3;103;0;0;1;6;1
29003;2;15;41;0;170;0;2;2;3;0
48186;25;9;56;0;191;0;2;1;5;7
22012;25;11;3;1;220;1;3;1;2;0
34939;8;17;18;1;149;0;3;1;2;2
28778;2;10;17;1;236;1;3;0;3;0
6138;5;23;16;1;341;0;3;1;3;1
16431;18;2;40;2;150;0;1;1;2;0
23206;27;7;45;1;249;0;3;2;1;0
39659;14;7;32;1;221;0;3;2;0;0
7794;7;15;18;1;115;0;3;1;5;0
35284;9;4;52;2;138;0;1;1;3;0
25011;29;10;27;1;167;0;3;0;6;0
4970;4;10;55;0;347;0;2;1;2;0
1066;0;20;15;0;133;0;2;1;5;1
43636;19;10;36;0;148;0;2;0;6;0
28283;1;21;10;2;238;1;1;1;2;2
44347;20;5;32;1;88;1;3;1;4;1
48775;26;1;50;1;337;0;3;1;6;1
49910;27;11;40;3;104;0;0;2;4;0
21622;24;21;2;0;137;0;2;1;0;1
26004;30;16;10;0;94;0;2;2;4;0
40001;14;17;20;1;200;0;3;0;0;1
16036;17;14;15;0;34;0;2;2;0;0
34659;8;8;24;0;140;0;2;1;2;0
24458;28;18;31;0;295;0;2;1;5;3
43938;19;18;55;1;134;0;3;1;6;1
8190;8;0;39;0;256;1;2;2;6;0
43821;19;15;33;1;87;0;3;1;6;1
46081;22;14;22;0;285;0;2;1;2;1
34770;8;11;51;1;134;0;3;1;2;1
37922;12;5;22;1;192;0;3;2;6;1
12908;13;20;56;0;225;1;2;2;1;0
15435;16;18;5;1;302;0;3;1;4;1
2834;2;8;38;1;153;0;3;1;4;0
5238;4;18;56;0;265;0;2;1;2;0
40711;15;15;16;1;187;0;3;2;2;3
37161;11;10;21;1;124;0;3;0;5;0
13801;14;19;41;1;138;1;3;0;5;0
3294;2;18;55;0;184;1;2;2;4;2
47669;24;20;12;0;304;0;2;1;1;1
19671;22;8;27;1;343;1;3;1;6;0
32127;5;15;3;1;221;0;3;1;6;0
24105;28;9;24;1;174;0;3;2;5;0
14989;16;4;43;1;125;0;3;2;4;0
21721;25;0;11;1;15;1;3;1;2;0
38615;12;23;32;0;161;1;2;2;6;0
24720;29;1;55;2;184;0;1;1;6;0
29262;2;22;16;0;92;1;2;1;3;0
20186;22;22;54;1;96;0;3;1;6;1
2931;2;10;39;1;182;0;3;2;4;0
12776;13;17;28;1;224;0;3;0;1;0
23364;27;12;2;2;13;0;1;2;1;0
16336;17;23;22;2;186;0;1;1;0;0
14154;15;5;59;0;54;1;2;1;6;0
26280;0;0;15;0;52;1;2;1;0;0
25998;30;16;0;3;191;0;0;1;4;0
42341;17;20;30;0;126;0;2;1;1;2
18664;21;3;25;1;249;1;3;0;5;2
49131;26;12;41;3;150;0;0;1;6;0
50269;27;22;5;2;277;0;1;1;4;0
18937;21;10;58;2;271;0;1;0;5;1
36391;10;14;46;0;255;1;2;2;1;0
31230;4;18;0;0;275;0;2;2;5;1
45019;21;2;33;3;140;0;0;1;0;0
9827;9;20;14;0;208;0;2;1;4;0
16546;18;6;33;1;295;1;3;2;2;0
47231;24;7;18;1;304;1;3;2;1;0
13804;14;19;47;1;185;1;3;0;5;2
21860;25;5;26;1;177;0;3;0;2;1
16268;17;20;59;1;161;1;3;1;0;0
40196;14;22;39;1;294;0;3;1;0;4
44551;20;11;36;1;313;1;3;2;4;2
31590;5;2;27;2;163;0;1;1;6;2
32953;6;10;40;1;359;0;3;1;4;1
22569;26;7;45;0;71;0;2;2;3;1
1729;1;10;16;1;250;1;3;1;6;1
24692;29;1;9;1;393;1;3;1;6;1
44017;19;21;3;1;191;0;3;1;6;2
26112;30;19;13;1;322;0;3;1;4;0
33336;6;20;36;0;264;1;2;1;4;2
39101;13;14;5;0;290;0;2;1;4;0
17722;20;1;25;3;223;1;0;1;1;0
36458;10;16;20;0;261;0;2;1;1;1
33578;7;2;14;2;176;0;1;2;0;3
45570;21;20;30;2;135;0;1;0;0;2
50197;27;19;56;1;44;1;3;0;4;2
35569;9;15;42;1;279;0;3;0;3;0
22935;26;23;14;0;156;0;2;1;3;0
45830;22;5;51;1;398;1;3;1;2;2
29156;2;19;26;1;233;1;3;1;3;3
37192;11;11;15;1;42;0;3;1;5;0
4177;3;15;18;0;44;0;2;1;0;2
7937;7;18;32;1;270;0;3;2;5;1
23873;28;2;42;2;177;1;1;1;5;0
3254;2;18;12;2;350;0;1;1;4;0
4910;4;9;22;0;205;0;2;1;2;1
6593;6;10;53;1;358;1;3;1;1;1
42074;17;12;55;3;284;0;0;1;1;1
5859;5;14;9;2;285;0;1;1;3;0
41543;16;21;37;2;222;1;1;1;3;0
47329;24;9;53;1;155;0;3;2;1;0
24339;28;15;38;2;279;1;1;2;5;0
28421;2;0;24;0;182;1;2;0;3;2
11798;12;8;45;1;235;0;3;2;3;0
6278;6;2;52;1;341;0;3;1;1;0
18532;20;23;16;1;150;0;3;1;1;0
5513;5;2;44;2;171;0;1;0;3;0
20046;22;19;16;1;189;0;3;0;6;0
26226;30;22;38;2;269;0;1;1;4;0
18875;21;8;53;1;191;0;3;1;5;0
17250;19;6;37;1;79;0;3;2;3;0
8671;8;13;34;0;430;1;2;1;6;0
16951;18;19;58;3;7;0;0;2;2;0
15390;16;16;39;1;185;0;3;0;4;1
28898;2;13;0;1;65;0;3;1;3;0
45986;22;11;21;0;285;0;2;1;2;0
47;0;0;52;1;94;0;3;1;5;3
16325;17;23;9;1;144;0;3;1;0;0
20019;22;18;26;1;204;0;3;2;6;0
33512;7;0;43;2;166;0;1;2;0;1
18829;21;7;38;2;150;1;1;1;5;0
21039;24;0;59;0;132;0;2;1;0;0
13064;14;0;50;0;181;0;2;1;5;1
36017;10;5;51;3;161;0;0;1;1;0
12310;13;3;59;1;190;0;3;0;1;0
12983;13;22;35;1;277;1;3;2;1;0
26115;30;19;16;2;115;0;1;2;4;0
28061;1;16;10;0;276;0;2;2;2;0
48022;25;5;57;2;211;1;1;1;5;0
39211;13;17;35;0;236;0;2;0;4;0
15171;16;10;14;1;162;0;3;2;4;0
48876;26;5;5;1;204;0;3;1;6;1
37535;11;19;43;2;234;0;1;0;5;1
9876;9;21;22;0;296;1;2;1;4;2
17011;18;21;45;1;254;0;3;1;2;3
17048;18;23;2;2;372;0;1;2;2;0
49161;26;13;30;1;403;0;3;1;6;0
5076;4;14;3;1;104;0;3;2;2;2
39807;14;12;29;0;372;0;2;2;0;0
31294;4;19;43;0;311;0;2;0;5;0
10281;10;7;36;0;121;0;2;1;0;0
15347;16;15;40;1;100;1;3;2;4;1
24610;28;22;47;2;242;0;1;1;5;1
27968;1;14;14;1;320;1;3;1;2;0
21220;24;6;55;0;335;0;2;0;0;1
28130;1;17;34;1;199;0;3;2;2;3
26466;0;4;21;1;387;0;3;1;0;1
22798;26;17;23;0;110;0;2;1;3;0
1540;1;6;19;1;358;0;3;1;6;0
2958;2;11;24;1;165;0;3;1;4;0
35290;9;5;4;0;260;1;2;1;3;0
49737;27;6;23;1;238;0;3;2;4;0
19850;22;13;42;1;224;0;3;2;6;1
19224;21;19;34;2;85;0;1;1;5;1
3013;2;12;57;1;252;0;3;1;4;0
20868;23;20;21;2;125;0;1;1;4;1
44784;20;18;46;1;369;1;3;0;4;0
12085;12;20;42;1;335;0;3;2;3;0
45829;22;5;51;2;398;1;1;1;2;1
16917;18;18;51;1;315;0;3;1;2;3
18650;21;2;59;1;171;0;3;1;5;0
27971;1;14;15;1;320;1;3;1;2;3
45217;21;9;20;0;77;0;2;1;0;3
31232;4;18;8;3;104;0;0;1;5;0
43501;19;6;36;1;242;0;3;1;6;0
46756;23;15;19;2;135;0;1;0;3;0
38022;12;7;44;1;232;0;3;1;6;0
26230;30;22;47;0;86;0;2;1;4;0
35021;8;19;37;1;116;0;3;1;2;0
33696;7;5;11;1;293;1;3;1;0;2
41468;16;18;58;0;129;0;2;2;3;0
19770;22;11;19;0;159;0;2;2;6;1
37780;12;1;52;2;135;0;1;1;6;1
19662;22;8;13;0;220;0;2;0;6;3
30997;4;13;8;0;93;0;2;0;5;0
41442;16;18;6;3;10;0;0;1;3;0
8425;8;7;16;0;262;0;2;2;6;1
5291;4;20;29;1;259;0;3;1;2;0
10323;10;8;37;2;209;0;1;2;0;3
10285;10;7;42;1;86;0;3;1;0;0
44921;20;23;28;1;320;0;3;1;4;1
5357;4;22;18;1;273;1;3;2;2;1
46113;22;15;22;2;290;0;1;1;2;0
17844;20;4;43;0;313;0;2;1;1;1
5331;4;21;39;3;284;1;0;1;2;0
8731;8;14;54;1;317;0;3;1;6;0
30839;4;9;29;1;96;0;3;1;5;0
19766;22;11;17;1;310;1;3;1;6;0
38476;12;19;31;1;234;0;3;2;6;1
28217;1;19;47;1;166;0;3;1;2;2
37862;12;3;41;1;116;0;3;1;6;0
29392;3;1;41;0;241;1;2;1;1;0
19753;22;10;54;1;261;0;3;1;6;1
15018;16;5;49;1;125;1;3;1;4;1
47028;24;1;46;0;165;0;2;0;1;4
46368;22;23;26;1;286;0;3;2;2;0
6187;6;0;48;1;265;0;3;1;1;2
17646;19;23;3;0;127;1;2;2;3;0
2938;2;10;50;1;247;0;3;1;4;1
1366;1;2;47;0;287;1;2;1;6;3
20602;23;11;48;2;45;0;1;1;4;0
36083;10;7;29;1;261;0;3;1;1;0
12320;13;4;30;2;295;0;1;2;1;0
24724;29;2;6;0;258;0;2;2;6;1
46629;23;9;49;1;333;0;3;2;3;6
18273;20;16;55;1;144;0;3;1;1;3
46560;23;7;9;0;184;0;2;1;3;2
39052;13;12;14;1;38;0;3;2;4;0
980;0;18;24;2;373;1;1;1;5;0
25781;30;9;11;1;211;0;3;1;4;0
12914;13;21;6;2;113;1;1;1;1;0
41452;16;18;29;1;117;0;3;2;3;1
22879;26;20;49;1;213;0;3;0;3;0
19271;21;20;42;1;339;0;3;1;5;0
14607;15;18;54;1;201;0;3;1;6;0
44206;20;1;58;0;259;1;2;0;4;1
23388;27;12;42;1;22;0;3;1;1;0
22895;26;21;30;1;251;0;3;1;3;0
9041;8;23;9;1;215;0;3;1;6;3
3058;2;14;5;3;243;0;0;0;4;0
9021;8;22;45;0;181;0;2;1;6;1
44072;19;22;13;0;166;0;2;1;6;4
49305;26;17;57;2;130;0;1;1;6;0
34161;7;17;56;3;236;0;0;2;0;4
4238;3;16;41;1;199;0;3;1;0;0
40493;15;8;54;1;192;0;3;0;2;1
23347;27;11;44;1;20;0;3;0;1;1
5160;4;16;14;1;78;0;3;2;2;0
8612;8;11;45;2;234;0;1;2;6;0
47782;24;23;14;1;262;0;3;0;1;0
18002;20;9;11;0;32;0;2;2;1;1
29857;3;11;47;1;230;0;3;2;1;1
4066;3;12;32;1;109;0;3;1;0;1
22608;26;9;14;2;415;0;1;1;3;1
14228;15;8;15;1;396;0;3;1;6;0
9003;8;22;17;1;317;0;3;1;6;1
16609;18;8;32;1;118;0;3;1;2;0
42765;18;8;32;2;109;0;1;1;5;0
14754;15;22;18;1;249;0;3;1;6;1
8416;8;6;45;2;206;0;1;2;6;0
20972;23;23;12;1;302;0;3;0;4;1
14827;16;0;26;1;213;0;3;1;4;1
790;0;14;59;1;427;0;3;1;5;6
50122;27;17;36;0;298;1;2;1;4;1
24092;28;8;58;1;280;0;3;1;5;1
39861;14;13;43;1;112;0;3;1;0;2
27975;1;14;20;0;332;0;2;1;2;2
41771;17;4;34;1;248;0;3;0;1;0
31074;4;14;47;2;154;1;1;2;5;0
17639;19;22;55;2;184;0;1;2;3;1
40894;15;21;15;1;258;0;3;2;2;1
3069;2;14;26;1;229;0;3;1;4;0
29642;3;6;55;1;26;0;3;1;1;2
31906;5;10;8;0;1;0;2;0;6;2
36968;11;5;13;1;215;0;3;1;5;4
36419;10;15;32;0;115;0;2;1;1;1
27548;1;3;59;0;165;1;2;1;2;1
16996;18;21;13;1;45;0;3;0;2;0
24547;28;21;5;2;173;0;1;1;5;1
42596;18;3;54;1;210;1;3;1;5;0
30824;4;9;13;2;328;0;1;1;5;1
11699;12;5;31;1;4;0;3;1;3;0
49838;27;9;16;1;31;1;3;0;4;1
36246;10;11;5;1;112;0;3;1;1;5
1897;1;13;40;0;37;1;2;1;6;0
24702;29;1;25;2;313;0;1;0;6;0
33318;6;20;15;1;123;0;3;1;4;2
21764;25;1;27;1;70;0;3;1;2;0
43393;19;3;2;1;242;1;3;1;6;0
8141;7;23;37;1;205;0;3;1;5;1
23214;27;7;52;1;108;1;3;0;1;3
11513;11;21;31;2;126;1;1;2;2;0
18911;21;10;12;2;133;0;1;0;5;0
28918;2;13;30;1;242;0;3;1;3;0
5980;5;17;55;0;248;0;2;0;3;2
49199;26;14;29;3;112;0;0;1;6;0
21358;24;11;15;2;234;0;1;1;0;0
42729;18;7;33;1;144;0;3;1;5;0
40362;15;4;17;0;147;1;2;1;2;0
5838;5;13;12;0;150;0;2;1;3;3
5485;5;1;56;1;187;0;3;2;3;3
27390;1;0;25;1;404;0;3;1;2;0
6897;6;18;25;2;260;0;1;2;1;0
33633;7;3;55;2;185;0;1;0;0;0
21752;25;1;6;1;247;0;3;1;2;2
20326;23;3;28;1;70;0;3;2;4;0
38501;12;20;15;1;217;0;3;1;6;2
13648;14;15;34;1;176;0;3;1;5;0
24141;28;10;19;1;11;1;3;1;5;3
47750;24;22;13;0;127;0;2;0;1;1
5669;5;8;17;1;4;1;3;2;3;2
14914;16;2;58;2;107;1;1;1;4;0
19273;21;20;42;1;339;0;3;1;5;2
39985;14;17;2;2;71;0;1;2;0;0
27826;1;11;24;1;31;0;3;1;2;1
2876;2;9;36;1;146;0;3;0;4;2
14884;16;1;59;2;180;0;1;2;4;2
45125;21;6;15;1;25;0;3;1;0;0
9082;9;0;22;1;173;0;3;1;4;0
35943;10;3;41;1;252;0;3;1;1;5
6117;5;22;47;1;181;0;3;1;3;1
4085;3;13;3;0;29;0;2;1;0;0
6826;6;16;44;1;313;0;3;1;1;0
21541;24;18;2;0;177;0;2;0;0;0
31694;5;4;52;1;271;0;3;1;6;3
36033;10;6;9;1;95;0;3;1;1;4
34962;8;17;58;1;261;0;3;1;2;2
20727;23;15;51;2;129;1;1;0;4;0
38857;13;6;23;1;187;0;3;1;4;0
29579;3;5;28;0;288;0;2;0;1;0
31895;5;9;56;2;276;0;1;1;6;1
36403;10;15;9;3;299;0;0;0;1;0
48258;25;11;41;0;215;0;2;1;5;1
7954;7;19;6;1;316;0;3;1;5;1
22518;26;5;47;1;182;1;3;1;3;2
26577;0;6;57;1;195;0;3;0;0;2
1931;1;14;19;1;163;0;3;1;6;0
8447;8;8;3;1;168;0;3;1;6;0
20065;22;19;45;1;55;0;3;1;6;0
21072;24;1;50;0;293;0;2;1;0;0
7752;7;14;23;1;65;0;3;2;5;0
5986;5;18;13;0;191;0;2;1;3;0
46981;24;0;22;3;306;0;0;1;1;4
1953;1;14;53;0;207;0;2;1;6;0
23747;27;23;4;0;126;0;2;1;1;0
44935;20;23;56;1;161;0;3;1;4;0
7362;7;5;14;2;69;0;1;1;5;0
23665;27;20;33;1;185;0;3;2;1;0
12538;13;10;19;1;298;0;3;0;1;2
18082;20;11;17;3;260;1;0;0;1;0
47747;24;22;10;1;101;0;3;0;1;0
23337;27;11;24;1;83;0;3;1;1;0
42432;17;23;7;2;99;0;1;2;1;0
45064;21;3;58;2;199;1;1;0;0;0
33597;7;2;46;0;286;1;2;1;0;0
88;0;1;36;3;186;1;0;0;5;0
20513;23;9;15;1;236;0;3;0;4;0
42859;18;11;8;0;378;0;2;1;5;0
22291;25;21;48;1;161;0;3;0;2;0
21915;25;7;34;0;180;0;2;1;2;6
45620;21;22;38;1;196;0;3;2;0;1
31722;5;5;43;1;186;1;3;0;6;0
21412;24;13;14;1;357;0;3;1;0;0
47113;24;4;9;0;122;0;2;0;1;0
17969;20;8;9;2;101;0;1;1;1;1
35072;8;21;19;1;325;0;3;1;2;0
36392;10;14;50;1;257;0;3;1;1;0
18707;21;4;56;2;136;1;1;0;5;3
13011;13;23;29;1;32;1;3;2;1;1
23028;27;2;16;1;52;0;3;0;1;1
42923;18;13;2;1;178;1;3;0;5;0
34908;8;16;18;1;73;0;3;1;2;0
8840;8;17;59;3;376;0;0;1;6;1
16734;18;12;35;3;229;1;0;1;2;0
41666;17;1;38;3;292;0;0;1;1;0
34538;8;4;30;2;336;0;1;1;2;2
25281;29;18;24;1;2;0;3;1;6;2
12412;13;7;11;1;36;0;3;2;1;1
39166;13;16;24;1;218;0;3;0;4;2
19429;22;1;16;1;194;0;3;1;6;1
10257;10;6;51;0;257;0;2;1;0;1
25961;30;14;54;1;232;0;3;1;4;0
42884;18;11;48;0;172;0;2;0;5;0
31180;4;16;52;2;79;1;1;1;5;0
24046;28;7;35;0;152;0;2;2;5;0
12611;13;12;48;2;81;1;1;0;1;1
41718;17;2;57;1;130;0;3;1;1;0
45548;21;19;56;3;333;0;0;0;0;2
43104;18;17;57;1;76;0;3;1;5;0
41010;16;1;59;1;34;0;3;1;3;0
43209;18;21;41;1;80;1;3;1;5;2
30061;3;15;57;0;40;0;2;2;1;0
5066;4;13;46;1;277;0;3;1;2;0
13925;14;23;1;0;168;0;2;1;5;0
42678;18;6;1;1;263;1;3;1;5;1
8033;7;20;55;0;292;0;2;1;5;0
4653;4;2;31;1;197;0;3;1;2;0
13316;14;6;54;1;73;0;3;2;5;2
20154;22;22;3;1;98;1;3;0;6;1
85;0;1;35;0;50;1;2;2;5;0
7539;7;9;30;1;342;1;3;1;5;1
44098;19;22;53;1;166;1;3;0;6;0
34384;7;23;51;0;105;1;2;0;0;1
21867;25;5;41;1;211;0;3;2;2;1
33656;7;4;28;2;276;1;1;1;0;3
45870;22;7;14;0;168;1;2;1;2;0
13277;14;5;52;3;121;0;0;1;5;1
39571;14;4;31;2;68;0;1;1;0;1
22181;25;17;25;0;148;0;2;0;2;0
17636;19;22;50;1;117;0;3;2;3;0
23187;27;6;51;2;199;0;1;2;1;3
22172;25;17;4;1;330;0;3;0;2;2
3091;2;14;49;0;253;0;2;1;4;3
39433;14;0;5;3;299;0;0;1;0;0
20771;23;17;23;1;43;0;3;1;4;0
3941;3;9;14;1;27;0;3;1;0;3
15743;17;4;59;2;249;0;1;1;0;0
16963;18;20;27;0;135;0;2;2;2;0
48389;25;15;21;0;166;0;2;2;5;1
41972;17;10;5;1;254;0;3;1;1;1
40303;15;2;17;1;196;0;3;1;2;0
38004;12;7;10;1;73;0;3;2;6;0
22840;26;19;19;0;296;0;2;2;3;0
47221;24;7;3;1;237;0;3;1;1;1
41925;17;8;58;0;133;0;2;1;1;4
27950;1;13;54;2;249;0;1;2;2;1
34930;8;17;5;1;78;0;3;2;2;1
19706;22;9;42;1;113;0;3;1;6;0
50253;27;21;39;1;186;0;3;2;4;2
33624;7;3;34;1;304;0;3;2;0;2
40101;14;20;1;1;186;1;3;1;0;1
3264;2;18;20;1;72;0;3;2;4;1
7317;7;4;14;1;33;0;3;2;5;2
19376;21;23;39;1;69;0;3;0;5;3
16961;18;20;22;1;143;0;3;0;2;2
13101;14;1;37;1;142;0;3;1;5;0
16836;18;16;19;1;294;0;3;1;2;0
45065;21;3;59;1;199;1;3;0;0;1
33968;7;12;21;2;130;0;1;1;0;3
30787;4;8;27;2;340;0;1;2;5;1
9579;9;13;43;1;155;0;3;0;4;2
43009;18;15;26;0;221;0;2;1;5;1
49149;26;13;6;2;99;0;1;1;6;1
1229;0;23;27;1;261;0;3;1;5;0
33344;6;20;49;1;190;0;3;2;4;2
8651;8;12;55;1;165;1;3;1;6;4
7668;7;12;36;0;125;0;2;1;5;0
29682;3;7;47;1;140;0;3;1;1;6
3176;2;16;44;1;58;0;3;2;4;1
7863;7;16;45;0;351;0;2;1;5;0
9774;9;18;54;3;184;0;0;1;4;1
24219;28;12;24;1;266;0;3;0;5;0
